Draw,Date,Winning Number 1,2,3,4,5,6,Extra Number,From Last,Low,High,Odd,Even,1-10,11-20,21-30,31-40,41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize,Turnover
25/084,2025-08-02,10,14,18,21,34,44,24,"10,21",4,2,1,5,1,2,1,1,1,0,0.00,2.5,486150.00,37,87590.00,293,9600.00,2348.5,640.00,7168.3,320.00,46950.9,40.00,35167166
25/083,2025-07-31,10,21,23,27,35,47,39,35,3,3,5,1,1,0,3,1,1,1,12926330.00,1,1642110.00,57,76820.00,131,9600.00,3173.9,640.00,4094.5,320.00,61765,40.00,42043947
25/082,2025-07-29,9,11,17,28,35,43,42,,3,3,5,1,1,2,1,1,1,0,0.00,2,674140.00,67.5,53260.00,155,9600.00,3912.5,640.00,4480.5,320.00,70811.1,40.00,37572719
25/081,2025-07-26,19,22,25,32,33,45,36,,2,4,4,2,0,1,2,2,1,1,53095300.00,7,718820.00,238.5,56260.00,475.5,9600.00,12722.7,640.00,15167.5,320.00,230187.2,40.00,135181179
25/080,2025-07-21,17,20,28,31,35,48,32,48,2,4,3,3,0,2,1,2,1,1,10205890.00,7,233860.00,23,116930.00,83,9600.00,1731.9,640.00,2592.7,320.00,36678.1,40.00,29119529
25/079,2025-07-19,6,25,29,40,48,49,42,,1,5,3,3,1,0,2,1,2,0.5,6665955.00,2,763820.00,48.5,83990.00,188.5,9600.00,2990.2,640.00,3687,320.00,60833.2,40.00,40058182
25/078,2025-07-17,12,19,31,37,42,45,15,"12,31",2,4,4,2,0,2,0,2,2,0,0.00,0.5,748945.00,54,73970.00,120.5,9600.00,2393.5,640.00,3223.9,320.00,48419.3,40.00,37366707
25/077,2025-07-15,9,12,23,30,31,44,5,,3,3,3,3,1,1,2,1,1,1,14512800.00,2,862530.00,78,58970.00,288,9600.00,4481.9,640.00,7275.7,320.00,82839.3,40.00,48954023
25/076,2025-07-12,5,17,20,24,27,35,38,,4,2,4,2,1,2,2,1,0,0,0.00,0,0.00,57,62570.00,134,9600.00,3466.3,640.00,3669.6,320.00,62377.3,40.00,36008395
25/075,2025-07-10,6,13,23,25,32,39,34,"13,23",3,3,4,2,1,1,2,2,0,1,42939840.00,2.5,1098900.00,204,35910.00,320.5,9600.00,7449.9,640.00,9423.6,320.00,126597,40.00,75434727
25/074,2025-07-08,13,16,17,22,23,35,41,22,5,1,4,2,0,3,2,1,0,0,0.00,1.5,1719150.00,98,70160.00,220.5,9600.00,5298.6,640.00,5810.1,320.00,101322.7,40.00,66420101
25/073,2025-07-06,5,9,22,33,46,47,36,,3,3,4,2,2,0,1,1,2,0,0.00,2.5,932560.00,89.5,69460.00,242.5,9600.00,5214,640.00,7008.6,320.00,99043.3,40.00,61971325
25/072,2025-07-03,7,17,24,35,37,45,30,,3,3,5,1,1,1,1,2,1,0,0.00,4,563040.00,110,54590.00,290.5,9600.00,5919,640.00,8012.4,320.00,106560.7,40.00,62274915
25/071,2025-06-29,19,29,32,34,42,46,20,29,1,5,2,4,0,1,1,2,2,0,0.00,1,1737020.00,92,50340.00,156.5,9600.00,4083,640.00,4308,320.00,69189,40.00,45448340
25/070,2025-06-26,9,11,23,24,29,49,30,49,4,2,5,1,1,1,3,0,1,0,0.00,1,1235640.00,92.5,35620.00,221.5,9600.00,4866.7,640.00,6299.9,320.00,82574.8,40.00,38154646
25/069,2025-06-24,3,21,28,33,45,49,29,,2,4,5,1,1,0,2,1,2,1,8000000.00,0.5,751035.00,67,59780.00,141,9600.00,3754.7,640.00,4523,320.00,63467.4,40.00,40045397
25/068,2025-06-21,2,4,19,27,31,39,13,,3,3,4,2,2,1,1,2,0,1,8000000.00,1,1415070.00,57.5,65620.00,96,9600.00,2847,640.00,4198.8,320.00,55998.2,40.00,36523197
25/067,2025-06-19,7,12,13,18,34,35,6,,4,2,3,3,1,3,0,2,0,1,8000000.00,4,293480.00,153.5,20390.00,228.7,9600.00,4983.6,640.00,6589.5,320.00,72380.2,40.00,36692712
25/066,2025-06-17,5,19,30,40,44,45,26,45,2,4,3,3,1,1,1,1,2,1,52649310.00,4.5,1085130.00,206,63210.00,537.5,9600.00,11091.5,640.00,14816.2,320.00,194293.4,40.00,129687177
25/065,2025-06-12,6,25,32,36,39,45,13,45,1,5,3,3,1,0,1,3,1,0,0.00,1,1738820.00,47.5,97610.00,182,9600.00,3375.6,640.00,5304.2,320.00,66996,40.00,45513439
25/064,2025-06-10,9,13,35,40,45,46,26,9,2,4,4,2,1,1,0,2,2,0,0.00,0.5,794520.00,54.5,77750.00,139,9600.00,3356.6,640.00,4111,320.00,55658.8,40.00,40913202
25/063,2025-06-07,9,15,27,30,34,39,19,39,2,4,4,2,1,1,2,2,0,1,12932520.00,1.5,1096110.00,60.5,72470.00,178.5,9600.00,3364.7,640.00,5655.6,320.00,64562.6,40.00,43565282
25/062,2025-06-05,18,22,24,33,39,44,3,,3,3,2,4,0,1,2,2,1,0,0.00,3,469820.00,90,41760.00,227,9600.00,4248.9,640.00,6015.9,320.00,67981.4,40.00,40409117
25/061,2025-06-03,1,2,13,15,41,46,27,,4,2,4,2,2,2,0,0,2,1,8000000.00,0,0.00,37,109980.00,131.5,9600.00,2504.1,640.00,4197.6,320.00,53785.6,40.00,38810229
25/060,2025-06-01,12,16,28,29,38,47,26,16,2,4,2,4,0,2,2,1,1,1,8000000.00,2.5,576920.00,51.5,74680.00,198.4,9600.00,3095.7,640.00,5972.4,320.00,61258.2,40.00,39463091
25/059,2025-05-29,5,6,16,21,24,35,33,6,5,1,3,3,2,1,2,1,0,1,55487500.00,10.5,555150.00,330,47100.00,673.5,9600.00,14939.9,640.00,19969,320.00,270614.2,40.00,159379031
25/058,2025-05-24,6,14,15,19,45,47,17,,4,2,4,2,1,3,0,0,2,0,0.00,1,2453370.00,97,67440.00,203,9600.00,4055.7,640.00,6081.5,320.00,82650.6,40.00,61862642
25/057,2025-05-22,4,11,26,29,34,35,18,34,2,4,3,3,1,1,2,2,0,0,0.00,1.5,1343680.00,82,65540.00,241.2,9600.00,5357.7,640.00,7432.3,320.00,99968.2,40.00,55888551
25/056,2025-05-20,10,15,28,31,34,40,48,34,2,4,2,4,1,1,1,3,0,0,0.00,1,2213000.00,82,71960.00,177.5,9600.00,4056.1,640.00,5085.5,320.00,77910.2,40.00,56058899
25/055,2025-05-17,12,22,27,29,32,34,9,"12,29,32,34",2,4,2,4,0,1,3,2,0,0,0.00,3.5,424930.00,115,34480.00,243,9600.00,6259.9,640.00,6055.8,320.00,76235.1,40.00,44203057
25/054,2025-05-15,6,12,29,32,34,46,16,,2,4,1,5,1,1,1,2,1,0,0.00,4,400110.00,53.5,79770.00,218,9600.00,3363.5,640.00,5099,320.00,64865.9,40.00,42944184
25/053,2025-05-13,13,26,27,41,45,49,46,"26,49",1,5,5,1,0,1,2,0,3,0.5,6612580.00,1,1741720.00,54.5,85220.00,113,9600.00,2680,640.00,3935,320.00,55980.2,40.00,43101551
25/052,2025-05-11,19,26,28,29,46,49,32,,1,5,3,3,0,1,3,0,2,0,0.00,2,785240.00,84.5,49560.00,139,9600.00,3575,640.00,4115,320.00,65844.1,40.00,41219606
25/051,2025-05-08,6,11,17,22,27,43,24,,4,2,4,2,1,2,2,0,1,1,13858970.00,0.5,768400.00,143.5,28550.00,229.5,9600.00,5767.5,640.00,6812.6,320.00,90709.9,40.00,45674138
25/050,2025-05-06,12,15,25,26,29,41,42,,2,4,4,2,0,2,3,0,1,0.5,7424985.00,0,0.00,116,41920.00,164,9600.00,3739.6,640.00,4412.5,320.00,71499.5,40.00,47173705
25/049,2025-05-03,18,20,30,35,47,49,44,47,2,4,3,3,0,2,1,1,2,0,0.00,0,0.00,42.5,86540.00,125,9600.00,2674.5,640.00,3363,320.00,51661.3,40.00,35458033
25/048,2025-05-01,4,7,21,32,41,47,28,"21,32",3,3,4,2,2,0,1,1,2,1,34540820.00,1.5,1647530.00,98.5,66900.00,269,9600.00,5727.5,640.00,7670.7,320.00,102818.7,40.00,65980478
